Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KGPT3RZX4VYHCEFEDVANPWSZ,comptia-a-plus-exam-voucher,CompTIA A+,published,,sc_01KGPTNP9JY4KGVR5C0T5YW76J,variant_01KGPT3S27PSCKD82Z8NCZQVBD
prod_01KGSJ640TJ5BVJQCYD32CCXD3,salesforce-exam-voucher,Salesforce Exam Voucher,published,,sc_01KGPTNP9JY4KGVR5C0T5YW76J,variant_01KGSJ64EC0349XJ8G9MR6Q180
